t/di,diam_in,psi,thick_in,thick_mm,deflect_mm,deflect_in
0.559,1.5,2000,.838,21.285,.246,.009
0.559,1.5,4000,.838,21.285,.492,.019
0.559,1.5,8000,.838,21.285,.985,.038
0.559,1.5,16000,.838,21.285,1.97083,.077
0.559,1.5,28000,.838,21.285,3.44895,.135
0.600,3.33,0,0,0,0,0
0.600,3.33,1000,1.998,50.749,.335,.013
0.600,3.33,2000,1.998,50.749,.671,.026
0.600,3.33,4000,1.998,50.749,1.34397,.052
0.600,3.33,8000,1.998,50.749,2.68794,.105
0.600,3.33,16000,1.998,50.749,5.37586,.211
0.600,3.33,28000,1.998,50.749,9.40776,.370
0.655,1.5,0,0,0,0,0
0.655,1.5,1000,.982,24.942,.129,.005
0.655,1.5,2000,.982,24.942,.258,.010
0.655,1.5,4000,.982,24.942,.517,.020
0.655,1.5,8000,.982,24.942,1.03544,.040
0.655,1.5,16000,.982,24.942,2.07089,.081
0.655,1.5,28000,.982,24.942,3.62405,.142
0.847,0.590,0,0,0,0,0
0.847,0.590,1000,.499,12.674,.045,.001
0.847,0.590,2000,.499,12.674,.090,.003
0.847,0.590,4000,.499,12.674,.181,.007
0.847,0.590,8000,.499,12.674,.363,.014
0.847,0.590,16000,.499,12.674,.726,.028
0.847,0.590,28000,.499,12.674,1.2719,.050
