0.050490, 12889
0.054863, 13402
0.058084, 13884
0.062065, 14358
0.066119, 14840
0.070554, 15333
0.074707, 15793
0.078853, 16231
0.083760, 16686
0.088156, 17107
0.092805, 17558
0.098291, 17973
0.10475, 18385
0.11266, 18814
0.12204, 19259
0.13238, 19680
0.14321, 20092
0.15401, 20441
0.16479, 20739
0.17556, 20995
0.18632, 21225
0.19707, 21428
0.20781, 21597
0.21854, 21749
0.22926, 21883
0.23998, 21998
0.25069, 22100
0.26140, 22183
0.27210, 22253
0.28280, 22316
0.29350, 22368
0.30419, 22400
0.31488, 22433
0.32556, 22465
0.33187, 22468
0.040590, 11221
0.031707, 9483.6
0.026533, 8216.0
0.022624, 7183.1
0.017384, 5727.7
